Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
313,I70,,Atherosclerosis,I70.734,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,687506d2-11fa-541d-8a28-3de61dee0e49,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.734,Atherosclerosis
314,I70,,Atherosclerosis,I70.735,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,693a9782-7898-5695-9055-a7597c9238ad,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.735,Atherosclerosis
315,I70,,Atherosclerosis,I70.738,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg,44a93192-d7ea-5cd6-99fa-c3778cda59f5,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.738,Atherosclerosis
316,I70,,Atherosclerosis,I70.739,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,6c6a636b-f734-5e6b-a8df-7e1b315c9d0e,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.739,Atherosclerosis
317,I70,,Atherosclerosis,I70.74,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration,1e9e4f13-57d1-5883-acd2-f48e90bddad5,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.74,Atherosclerosis
318,I70,,Atherosclerosis,I70.741,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,b9a22876-b60d-59a2-9729-da74295483ef,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.741,Atherosclerosis
319,I70,,Atherosclerosis,I70.742,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf,559b6797-85a2-5a01-b35a-986e4897e077,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.742,Atherosclerosis
320,I70,,Atherosclerosis,I70.743,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,bbe34ca2-3b91-5631-bfe2-8c0caa561166,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.743,Atherosclerosis
321,I70,,Atherosclerosis,I70.744,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot,458c20f2-c49a-505f-95b5-cedf7223a112,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.744,Atherosclerosis
322,I70,,Atherosclerosis,I70.745,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot,821017ba-6919-54ed-9ad2-53ce1ca78e19,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.745,Atherosclerosis
323,I70,,Atherosclerosis,I70.748,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg,9d683c3c-79f9-57dd-86b6-2be000b045cd,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.748,Atherosclerosis
324,I70,,Atherosclerosis,I70.749,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site,c9113f7e-2800-5fe0-a8ca-55e77fccbb9b,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.749,Atherosclerosis
325,I70,,Atherosclerosis,I70.75,Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration,dad03a3b-5e72-5ee3-be4e-313c1dca5b9c,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.75,Atherosclerosis
326,I70,,Atherosclerosis,I70.76,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene,670703e3-37ed-5b9d-a725-2e3872f6f046,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.76,Atherosclerosis
327,I70,,Atherosclerosis,I70.761,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene right leg,d668d9a7-1c0c-5f69-a45b-244e066d4b0c,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.761,Atherosclerosis
328,I70,,Atherosclerosis,I70.762,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene left leg,99ad6d8d-b20f-5b4d-a2db-460a9dff538e,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.762,Atherosclerosis
329,I70,,Atherosclerosis,I70.763,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene bilateral legs,8b953b00-e550-50ff-bd17-74437e276d00,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.763,Atherosclerosis
330,I70,,Atherosclerosis,I70.768,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene other extremity,4e3d2b0b-df30-5c5a-bcfb-0c826c23b0b5,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.768,Atherosclerosis
331,I70,,Atherosclerosis,I70.769,Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene unspecified extremity,1a382c56-853e-5261-af93-a88d50e14f2c,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.769,Atherosclerosis
332,I70,,Atherosclerosis,I70.79,Other atherosclerosis of other type of bypass graft(s) of the extremities,08192311-dd6c-5bc7-aeac-b0eebf2dbc08,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.79,Atherosclerosis
333,I70,,Atherosclerosis,I70.791,Other atherosclerosis of other type of bypass graft(s) of the extremities right leg,902ca084-6482-5621-b194-4d5851ec9188,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.791,Atherosclerosis
334,I70,,Atherosclerosis,I70.792,Other atherosclerosis of other type of bypass graft(s) of the extremities left leg,637f271e-7600-5795-b299-004548893313,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.792,Atherosclerosis
335,I70,,Atherosclerosis,I70.793,Other atherosclerosis of other type of bypass graft(s) of the extremities bilateral legs,2f0a30b4-acd0-57b1-800d-485d4c911a1e,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.793,Atherosclerosis
336,I70,,Atherosclerosis,I70.798,Other atherosclerosis of other type of bypass graft(s) of the extremities other extremity,953628e7-0a14-5d49-8bbd-0385d51a6d5a,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.798,Atherosclerosis
337,I70,,Atherosclerosis,I70.799,Other atherosclerosis of other type of bypass graft(s) of the extremities unspecified extremity,26bbd5a2-77f4-5a24-8207-61f9d7b4c197,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.799,Atherosclerosis
338,I70,,Atherosclerosis,I70.8,Atherosclerosis of other arteries,3b73d9a9-2e48-58d3-bcdb-3dc66b38ec6f,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.8,Atherosclerosis
339,I70,,Atherosclerosis,I70.9,Other and unspecified atherosclerosis,a6febfbf-2d16-5063-84ef-b295e0bbf594,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.9,Atherosclerosis
340,I70,,Atherosclerosis,I70.90,Unspecified atherosclerosis,0fb850e1-562e-5731-9ba5-be6b5d9c257d,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I70-I79/I70-/I70.90,Atherosclerosis
343,I25,,Chronic ischemic heart disease,I25.70,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris",08ceafc9-9380-5b8f-b430-fae7b104b9e7,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I20-I25/I25-/I25.70,Ischemic Heart Disease
427,I63,,Cerebral infarction,I63.1,Cerebral infarction due to embolism of precerebral arteries,a585300c-ee3b-56fc-a4aa-12b677b9e58d,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.1,Cerebral Infarction
428,I63,,Cerebral infarction,I63.111,Cerebral infarction due to embolism of right vertebral artery,1ffc1d3e-a146-55e9-bd5a-fd5010468b39,https://www.icd10data.com//ICD10CM/Codes/I00-I99/I60-I69/I63-/I63.111,Cerebral Infarction
